[2,2]
("port 1","TE",1,"port 1",1,"transmission")
1.960709339437540938e+14 1.263605341296248630e-01 3.077528373364041947e+00
1.959427830065359375e+14 1.267572921711741241e-01 3.067392455022679876e+00
1.958147994774656875e+14 1.269385695268473169e-01 3.059753667078493944e+00
1.956869830287206250e+14 1.270250763457848875e-01 3.054892674028562460e+00
1.955593333333333438e+14 1.271088785572370983e-01 3.052891200640144298e+00
1.954318500651890312e+14 1.273251391985977810e-01 3.053514563242789581e+00
1.953045328990227812e+14 1.277663916652571618e-01 3.056332329184300534e+00
1.951773815104166562e+14 1.285195373942342734e-01 3.060644941713797529e+00
1.950503955757970312e+14 1.296482825301134290e-01 3.065611115793579700e+00
1.949235747724317188e+14 1.311694544286106656e-01 3.070213120174808630e+00
1.947969187784275312e+14 1.330903024404073431e-01 3.073561538563101880e+00
1.946704272727272812e+14 1.353574388070361012e-01 3.074805637443424722e+00
1.945440999351070938e+14 1.379076577851475471e-01 3.073286358298070731e+00
1.944179364461737812e+14 1.406507847561100644e-01 3.068601707846501991e+00
1.942919364873622500e+14 1.434803121208566568e-01 3.060559658696478724e+00
1.941660997409326250e+14 1.462835855300861077e-01 3.049173368246829163e+00
1.940404258899676562e+14 1.489546906022989892e-01 3.034688630553965982e+00
1.939149146183699688e+14 1.513972912533436133e-01 3.017438332324190231e+00
1.937895656108597188e+14 1.535316524796011273e-01 2.997861604576087746e+00
1.936643785529715625e+14 1.552889039126479631e-01 2.976515663138901147e+00
1.935393531310523125e+14 1.566111398316380188e-01 2.953951167560269209e+00
1.934144890322580625e+14 1.574790217926896052e-01 2.930749931756087445e+00
1.932897859445518750e+14 1.578910323188577047e-01 2.907482553320682062e+00
1.931652435567010312e+14 1.578467020603640525e-01 2.884699699955842966e+00
1.930408615582743125e+14 1.573907813205329409e-01 2.862934855857433902e+00
1.929166396396396250e+14 1.565715376308369211e-01 2.842671537733099107e+00
1.927925774919614062e+14 1.554534094552418866e-01 2.824291107585762628e+00
1.926686748071979375e+14 1.541185427175654210e-01 2.808119000211267480e+00
1.925449312780989062e+14 1.526527359167047238e-01 2.794340781027814025e+00
1.924213465982028125e+14 1.511584038008378372e-01 2.783054660483669007e+00
1.922979204618345000e+14 1.497218581248346281e-01 2.774132340551866527e+00
1.921746525641025625e+14 1.484248318615081774e-01 2.767334694031871489e+00
1.920515426008968750e+14 1.473385133210934894e-01 2.762230833046153133e+00
1.919285902688860312e+14 1.465188403414820761e-01 2.758275717466236898e+00
1.918057952655150000e+14 1.459920780660709794e-01 2.754850849541087054e+00
1.916831572890025625e+14 1.457537039757735020e-01 2.751229517377278722e+00
1.915606760383386562e+14 1.457788497037028896e-01 2.746771985485256362e+00
1.914383512132822500e+14 1.460259606499603457e-01 2.740891228746679786e+00
1.913161825143586250e+14 1.464218179108068285e-01 2.733130569604475202e+00
1.911941696428571250e+14 1.468881003451711909e-01 2.723184452909133135e+00
1.910723123008285625e+14 1.473220069379232167e-01 2.710872115687709805e+00
1.909506101910827812e+14 1.476543100811756326e-01 2.696281528930764892e+00
1.908290630171864688e+14 1.477876099937286969e-01 2.679520023261150907e+00
1.907076704834605625e+14 1.476452448243415760e-01 2.660869388072274244e+00
1.905864322949777500e+14 1.471677680042110525e-01 2.640723660240897441e+00
1.904653481575603438e+14 1.463064048694658059e-01 2.619514172469829649e+00
1.903444177777777500e+14 1.450297057863129402e-01 2.597782259033704744e+00
1.902236408629441562e+14 1.433326920688239026e-01 2.576110438441423067e+00
1.901030171211160625e+14 1.412097965120749088e-01 2.554991855113902144e+00
1.899825462610899688e+14 1.386975210319136009e-01 2.535102129208389066e+00
1.898622279924002188e+14 1.358368966228805652e-01 2.517027275978876322e+00
1.897420620253164375e+14 1.326791165622093760e-01 2.501280200921416341e+00
