[2,2]
("port 1","TE",1,"port 1",1,"transmission")
1.945440999351070938e+14 1.649294504605057846e-02 -2.150234402618435681e+00
1.944179364461737812e+14 1.746969274664855742e-02 -2.289893035041900227e+00
1.942919364873622500e+14 1.842780463833644522e-02 -2.425505971770768099e+00
1.941660997409326250e+14 1.936039253523584233e-02 -2.557744817272125104e+00
1.940404258899676562e+14 2.026084911083173012e-02 -2.687099023889200300e+00
1.939149146183699688e+14 2.112264421934276562e-02 -2.814025482393774702e+00
1.937895656108597188e+14 2.194059265091242647e-02 -2.938939877637151810e+00
1.936643785529715625e+14 2.270853514174413570e-02 -3.062103320895598113e+00
1.935393531310523125e+14 2.342126490119706209e-02 3.099401218469773678e+00
1.934144890322580625e+14 2.407464173892018278e-02 2.978917300400009793e+00
1.932897859445518750e+14 2.466310632735312092e-02 2.859418216919291655e+00
1.931652435567010312e+14 2.518411311575414341e-02 2.740677291109517189e+00
1.930408615582743125e+14 2.563205888377574973e-02 2.622512832176411735e+00
1.929166396396396250e+14 2.600542457859274931e-02 2.504706904445364035e+00
1.927925774919614062e+14 2.630022484323273416e-02 2.387065516073818117e+00
1.926686748071979375e+14 2.651475916697608806e-02 2.269401527622790571e+00
1.925449312780989062e+14 2.664847854096184798e-02 2.151457229652740555e+00
1.924213465982028125e+14 2.669924386347318282e-02 2.033048508279724498e+00
1.922979204618345000e+14 2.666824987811164047e-02 1.913881719286233185e+00
1.921746525641025625e+14 2.655617933581075688e-02 1.793718141818268830e+00
1.920515426008968750e+14 2.636467139245073088e-02 1.672223415543846237e+00
1.919285902688860312e+14 2.609768075710770449e-02 1.549052665369896387e+00
1.918057952655150000e+14 2.575918496980563951e-02 1.423872073281425177e+00
1.916831572890025625e+14 2.535514072450766043e-02 1.296212232240015139e+00
1.915606760383386562e+14 2.489318367525673176e-02 1.165640591260516112e+00
1.914383512132822500e+14 2.438285256749432584e-02 1.031601160554513230e+00
1.913161825143586250e+14 2.383585827701906190e-02 8.935421963331084960e-01
1.911941696428571250e+14 2.326600599049657297e-02 7.508822747855834479e-01
1.910723123008285625e+14 2.269024369888953188e-02 6.029570865375705191e-01
1.909506101910827812e+14 2.212877818542179076e-02 4.492791085854019317e-01
1.908290630171864688e+14 2.160443695891689844e-02 2.893678565154742532e-01
1.907076704834605625e+14 2.114269408039714387e-02 1.228627753439605619e-01
1.905864322949777500e+14 2.077209397936027879e-02 -5.012483219235413373e-02
1.904653481575603438e+14 2.052207677462258850e-02 -2.292028110545966946e-01
1.903444177777777500e+14 2.042166948061461748e-02 -4.133397263436032754e-01
1.902236408629441562e+14 2.049701746476098596e-02 -6.010290472684188812e-01
1.901030171211160625e+14 2.076885680192962907e-02 -7.903764098174691499e-01
1.899825462610899688e+14 2.125110306756810424e-02 -9.791650929816627658e-01
1.898622279924002188e+14 2.194895319544977463e-02 -1.165210103764309224e+00
1.897420620253164375e+14 2.285888551728540441e-02 -1.346697304590689370e+00
1.896220480708412500e+14 2.397128697069952907e-02 -1.522212451333802674e+00
1.895021858407079688e+14 2.526960356742924407e-02 -1.690964497924706933e+00
1.893824750473783750e+14 2.673576833549234227e-02 -1.852568590800569792e+00
1.892629154040404062e+14 2.834810882667439247e-02 -2.007095693255675162e+00
1.891435066246056875e+14 3.008559272075671948e-02 -2.154893133191799759e+00
1.890242484237074375e+14 3.192807442153098446e-02 -2.296496338220611388e+00
1.889051405166981562e+14 3.385443045251295552e-02 -2.432410294614119284e+00
1.887861826196473438e+14 3.584664238912192713e-02 -2.563314746604244743e+00
1.886673744493392188e+14 3.788613822090656363e-02 -2.689730575940089796e+00
1.885487157232704375e+14 3.995610810286686493e-02 -2.812263436929660632e+00
1.884302061596480000e+14 4.204032435843738091e-02 -2.931365657745346631e+00
