[2,2]
("port 1","TE",1,"port 1",1,"transmission")
1.936643785529715625e+14 2.216101327699273107e-02 8.712861252013522906e-01
1.935393531310523125e+14 1.081068658883470139e-02 1.093008020273546377e+00
1.934144890322580625e+14 3.454701604636897100e-02 1.624656248016761451e+00
1.932897859445518750e+14 5.869967222754182007e-02 8.795076800509147308e-01
1.931652435567010312e+14 5.540729404444824646e-02 4.383804257394774591e-03
1.930408615582743125e+14 2.644682651631102832e-02 -9.788384198376277601e-01
1.929166396396396250e+14 1.162593337822836678e-02 2.177403107216460132e+00
1.927925774919614062e+14 3.187178781364514296e-02 1.142369223975566062e+00
1.926686748071979375e+14 3.965214175294792809e-02 7.068560525827843888e-01
1.925449312780989062e+14 4.966174391485686512e-02 3.440048216092158051e-01
1.924213465982028125e+14 5.323109574262376714e-02 -2.720067854219380687e-01
1.922979204618345000e+14 3.347396877312912300e-02 -1.087247387407845878e+00
1.921746525641025625e+14 7.263436357666680845e-03 1.867007436961664490e+00
1.920515426008968750e+14 4.453241227003155306e-02 5.658783823831187165e-01
1.919285902688860312e+14 6.029038370828044419e-02 -2.777478371461740148e-01
1.918057952655150000e+14 4.974739688721228209e-02 -9.835814128934743383e-01
1.916831572890025625e+14 3.054802814458967841e-02 -1.359883468288518804e+00
1.915606760383386562e+14 2.198842657366522485e-02 -1.552889353264352845e+00
1.914383512132822500e+14 8.402482600651505276e-03 -2.496782876400758688e+00
1.913161825143586250e+14 2.228816338229671484e-02 6.421480993972934481e-01
1.911941696428571250e+14 4.924030282000991382e-02 -3.800185547073979264e-01
1.910723123008285625e+14 5.686446854312834226e-02 -1.380344806591735640e+00
1.909506101910827812e+14 4.176678657266257727e-02 -2.511287386842731451e+00
1.908290630171864688e+14 2.349060575815814164e-02 2.118310521846553662e+00
1.907076704834605625e+14 2.690843462268608863e-02 4.189877648970836699e-01
1.905864322949777500e+14 2.908105798286035951e-02 -3.564783632327478413e-01
1.904653481575603438e+14 3.387187944553945312e-02 -6.119833822410357671e-01
1.903444177777777500e+14 4.564853327685837459e-02 -1.115047546555595126e+00
1.902236408629441562e+14 4.261637816345010404e-02 -1.927729968314914943e+00
1.901030171211160625e+14 1.839985680522753658e-02 3.094577128519954368e+00
1.899825462610899688e+14 2.667253865786367931e-02 2.238659689042510614e-01
1.898622279924002188e+14 5.318068598509998607e-02 -8.632618666170259747e-01
1.897420620253164375e+14 5.468318416827365469e-02 -1.693097747142104703e+00
1.896220480708412500e+14 3.211963220192727564e-02 -2.261980762475257034e+00
1.895021858407079688e+14 1.734142435794747139e-02 -1.555198371712124050e+00
